Name,CNAM,CASN,INAM,Formula,Family,SMILES,PropertyID,Const_Value,Data_Type,Acceptance,Error_Source,Error
ACETIC ACID,ACETIC ACID,64-19-7,ACETIC ACID,C2H4O2,N-ALIPHATIC ACIDS,CC(=O)O,,,Experimental,A,Author,< 1%
PROPIONIC ACID,PROPANOIC ACID,1979/9/4,PROPIONIC ACID,C3H6O2,N-ALIPHATIC ACIDS,CCC(=O)O,,,Experimental,A,Author,< 1%
n-BUTYRIC ACID,BUTANOIC ACID,107-92-6,BUTYRIC ACID,C4H8O2,n-Aliphatic Acids,CCCC(=O)O,,,Experimental,A,Staff,< 1%
CHLOROPENTAFLUOROETHANE,"ETHANE, CHLOROPENTAFLUORO-",76-15-3,CHLOROPENTAFLUOROETHANE,C2ClF5,"C, H, Multihalogen Compounds",FC(F)(F)C(F)(F)Cl,,,Experimental,A,Predicted,< 1%
HEXAFLUOROETHANE,"ETHANE, HEXAFLUORO-",76-16-4,HEXAFLUOROETHANE,C2F6,"C, H, F COMPOUNDS",FC(F)(F)C(F)(F)F,,,Experimental,A,Author,< 1%
N-METHYLANILINE,"BENZENAMINE, N-METHYL-",100-61-8,METHYLAMINOBENZENE,C7H9N,AROMATIC AMINES,c1(NC)ccccc1,,,Experimental,A,Predicted,< 3%
"N,N-DIMETHYLANILINE","BENZENAMINE, N,N-DIMETHYL-",121-69-7,"N,N-DIMETHYLANILINE",C8H11N,AROMATIC AMINES,c1(N(C)C)ccccc1,,,Experimental,A,Predicted,< 5%
VINYLACETYLENE,1-BUTEN-3-YNE,689-97-4,VINYLACETYLENE,C4H4,Alkynes,C=CC#C,,,Experimental,A,Predicted,< 3%
ETHYLACETYLENE,1-BUTYNE,107-00-6,ETHYLACETYLENE,C4H6,ALKYNES,CCC#C,,,Experimental,A,Predicted,< 1%
NITROGLYCERINE,"1,2,3-PROPANETRIOL TRINITRATE",55-63-0,NITROGLYCERINE,C3H5N3O9,"POLYFUNCTIONAL C, H, O, N",C(ON(=O)=O)(CON(=O)=O)(CON(=O)=O),,,Experimental,A,Predicted,< 3%
PENTAERYTHRITOL TETRANITRATE,See note on molecular weight card.,1978/11/5,PENTAERYTHRITOL TETRANITRATE,C5H8N4O12,"POLYFUNCTIONAL C, H, O, N",C(CON(=O)=O)(CON(=O)=O)(CON(=O)=O)(CON(=O)=O),,,Experimental,A,Predicted,< 1%
